school_name,urn,borough,lsoa_code,lsoa_name,lon,lat,primary_secondary,school_type,admissions_type,gender,denomination,num_pupils,num_boys,num_girls,boy_girl_r,pupils_per_teacher,pct_esl,pct_fsm,pct_attainment,pct_absences,pct_unaut_absence,mean_distance,income_score,employment_score,crime_score,education_skills_score,health_score,ofsted
Harefield Infant School,102382,Hillingdon,E01002439,Hillingdon 003B,-0.48451499,51.603949,Primary,Community school,Not applicable,Mixed,No religious character,303,150,155,1,22,0.181,0.103,NA,0.0770644,0.0255756,NA,0.113,0.081,-0.085,17.282,0.298,2
Harlyn Primary School,102383,Hillingdon,E01002480,Hillingdon 004D,-0.402420799,51.59657514,Primary,Community school,Not applicable,Mixed,No religious character,497,250,245,1,20.2,0.444,0.088,0.71,0.0526146,0.0071415,1.394545134,0.035,0.029,-0.733,2.414,-1.405,2
Harmondsworth Primary School,102384,Hillingdon,E01002444,Hillingdon 031A,-0.479688871,51.4868169,Primary,Community school,Not applicable,Mixed,No religious character,240,130,110,1.2,20.4,0.429,0.118,0.85,0.0468434,0.0098319,1.505841092,0.096,0.066,-0.565,16.185,-0.012,2
Heathrow Primary School,102385,Hillingdon,E01002446,Hillingdon 031B,-0.460379172,51.49008091,Primary,Community school,Not applicable,Mixed,No religious character,385,195,190,1,22.4,0.514,0.079,0.9,0.0697005,0.0204265,1.554747437,0.086,0.064,1.286,21.986,-0.194,2
Lady Bankes Junior School,102388,Hillingdon,E01002471,Hillingdon 008E,-0.407670157,51.57033436,Primary,Community school,Not applicable,Mixed,No religious character,338,165,170,1,18.2,0.223,0.109,0.78,0.0492394,0.0072307,0.977829863,0.048,0.038,0.111,8.201,-0.951,3
Lady Bankes Infant School,102389,Hillingdon,E01002471,Hillingdon 008E,-0.407670157,51.57033436,Primary,NA,NA,Mixed,NA,357,190,165,1.2,24.3,NA,0.101,NA,NA,NA,NA,0.048,0.038,0.111,8.201,-0.951,1
Minet Junior School,102391,Hillingdon,E01002501,Hillingdon 026B,-0.40814247,51.51136038,Primary,Community school,Not applicable,Mixed,No religious character,471,245,225,1.1,18.7,0.829,0.191,0.68,0.0521808,0.0224783,0.853597416,0.134,0.098,0.569,19.173,-0.518,2
Minet Nursery and Infant School,102392,Hillingdon,E01002501,Hillingdon 026B,-0.40814247,51.51136038,Primary,Community school,Not applicable,Mixed,No religious character,457,225,230,1,20,0.849,0.209,NA,0.0490596,0.0194637,NA,0.134,0.098,0.569,19.173,-0.518,2
Newnham Junior School,102393,Hillingdon,E01002419,Hillingdon 006B,-0.39327182,51.57476026,Primary,Community school,Not applicable,Mixed,No religious character,360,175,185,0.9,21.2,0.269,0.053,0.84,0.0389148,0.0030581,1.253220448,0.047,0.042,-0.316,4.057,-0.884,1
Newnham Infant and Nursery School,102394,Hillingdon,E01002419,Hillingdon 006B,-0.39327182,51.57476026,Primary,Community school,Not applicable,Mixed,No religious character,340,165,175,0.9,23.3,0.158,0.107,NA,0.0534101,0.0059794,NA,0.047,0.042,-0.316,4.057,-0.884,2
West Drayton Primary School,102398,Hillingdon,E01002529,Hillingdon 029C,-0.466466838,51.50524971,Primary,NA,NA,Mixed,NA,500,245,255,1,18.4,NA,0.28,0.77,NA,NA,NA,0.14,0.075,0.891,15.779,-0.201,2
Whitehall Junior School,102399,Hillingdon,E01002523,Hillingdon 016D,-0.481420717,51.53955181,Primary,Community school,Not applicable,Mixed,No religious character,388,190,195,1,16.1,0.617,0.168,0.72,0.055053,0.0121734,1.378878183,0.085,0.055,0.442,11.394,-0.242,2
